Pick,Team,To,Player,Pos,Age,School,40-Yard Dash,Vertical Jump,Broad Jump,20-Yard Shuttle,Bench Press,G,AP1,PB,St
15,SDG,10.0,Anthony Miller,WR,23,Tennessee,4.38,32.0,111,4.20,14,155,0,5,10
17,NWE,6.0,John Stephens,RB,22,Northwestern State (LA),4.41,35.5,116,4.22,23,88,0,1,4
20,RAM,6.0,Aaron Cox,WR,23,Arizona State,4.40,30.0,109,4.34,3,82,0,0,1
25,RAI,7.0,Scott Davis,DT,23,Illinois,5.07,30.0,102,,19,75,0,0,3
30,PHI,14.0,Eric Allen,DB,22,Arizona State,4.46,30.5,112,4.19,14,217,1,6,14
32,DET,10.0,Pat Carter,TE,22,Florida State,4.92,29.0,98,4.77,11,154,0,0,6
33,SFO,11.0,Danny Stubbs,DE,23,Miami (FL),4.90,25.0,110,4.65,,134,0,0,3
34,GNB,6.0,Shawn Patterson,DE,24,Arizona State,4.81,29.0,108,4.35,28,48,0,0,0
37,NYJ,2.0,Terry Williams,DB,22,Bethune-Cookman,4.46,28.5,116,4.34,18,11,0,0,0
38,PHO,1.0,Tony Jeffery,RB,24,Texas Christian,4.48,28.0,115,4.40,15,3,0,0,0
40,BUF,13.0,Thurman Thomas,RB,22,Oklahoma State,4.47,33.0,114,4.21,13,182,2,5,10
46,RAM,10.0,Flipper Anderson,WR,23,UCLA,4.45,35.5,117,4.31,4,114,0,0,6
49,SEA,11.0,Brian Blades,WR,23,Miami (FL),4.48,,,,13,156,0,1,9
52,NOR,10.0,Brett Perriman,WR,22,Miami (FL),4.36,36.0,,,17,153,0,0,7
53,TAM,3.0,Lars Tate,RB,22,Georgia,4.47,31.5,124,4.37,18,33,0,0,2
56,ATL,1.0,Alex Higdon,TE,21,Ohio State,4.72,30.0,109,4.32,23,3,0,0,0
60,SDG,12.0,Quinn Early,WR,23,Iowa,4.41,35.0,117,4.23,9,179,0,0,8
61,GNB,4.0,Keith Woodside,RB,24,Texas A&M,4.59,30.5,113,4.30,14,64,0,0,4
62,NYG,6.0,Sheldon White,DB,23,Miami (OH),4.47,35.5,112,3.97,10,72,0,0,0
65,BUF,3.0,Bernard Ford,WR,22,Central Florida,4.37,32.0,115,4.05,6,24,0,0,0
71,MIN,7.0,Al Noga,DE,22,Hawaii,4.89,32.0,115,4.43,34,93,0,0,4
76,IND,17.0,Chris Chandler,QB,22,Washington,4.87,30.0,102,4.40,10,180,0,2,9
79,DEN,2.0,Kevin Guidry,DB,24,LSU,4.59,36.0,124,4.10,,17,0,0,0
82,RAM,5.0,Mike Piel,DE,22,Illinois,5.15,29.0,111,4.43,,50,0,0,1
83,TAM,9.0,Robert Goff,DE,22,Auburn,4.85,29.0,108,,18,122,0,0,3
84,CIN,6.0,David Grant,DE,22,West Virginia,5.11,25.0,102,,16,70,0,0,2
87,NWE,9.0,Tim Goad,NT,22,North Carolina,5.06,29.5,108,4.63,27,141,0,0,8
88,GNB,2.0,Rollin Putzier,DT,22,Oregon,4.99,29.5,106,4.48,22,16,0,0,0
90,RAI,3.0,Tim Rother,DT,22,Nebraska,4.96,32.5,111,4.55,17,20,0,0,0
92,NYG,3.0,Ricky Shaw,LB,23,Oklahoma State,4.74,34.5,127,4.50,15,37,0,0,0
95,PHO,8.0,Michael Brim,DB,22,Virginia Union,4.44,30.0,114,4.20,9,94,0,0,4
101,SEA,2.0,Kevin Harmon,RB,21,Iowa,4.60,27.5,106,4.19,8,9,0,0,0
109,WAS,3.0,Jamie Morris,RB,23,Michigan,4.54,30.5,110,4.41,,33,0,0,0
112,NOR,4.0,Greg Scales,TE,22,Wake Forest,4.84,29.0,112,4.54,17,44,0,0,0
113,TAM,2.0,William Howard,RB,24,Tennessee,4.89,26.0,104,4.42,17,31,0,0,2
117,RAM,6.0,Robert Delpino,RB,22,Missouri,4.54,34.0,120,4.15,13,88,0,0,1
118,NYG,2.0,Jon Carter,DT,23,Pittsburgh,4.95,28.0,110,5.01,26,13,0,0,0
122,PHI,5.0,Eric Everett,DB,22,Texas Tech,4.54,38.5,129,4.09,,75,0,0,0
125,HOU,13.0,Cris Dishman,DB,23,Purdue,4.42,32.5,117,4.34,7,199,1,2,11
126,MIA,4.0,Rodney Thomas,DB,22,Brigham Young,4.52,32.5,111,4.34,16,46,0,0,0
129,IND,6.0,John Baylor,DB,23,Southern Mississippi,4.59,30.5,120,4.10,,74,0,0,2
130,HOU,3.0,Chris Verhulst,TE,22,Cal State Chico,4.67,,,,27,28,0,0,0
138,ATL,5.0,George Thomas,WR,24,UNLV,4.40,34.0,120,4.40,7,51,0,0,1
139,KAN,8.0,James Saxon,FB,22,San Jose State,4.67,31.0,115,4.42,12,111,0,0,0
143,RAI,,Erwin Grabisna,LB,,Case Western,4.61,28.0,111,4.41,29,,0,0,0
144,GNB,1.0,Nate Hill,DE,22,Auburn,4.90,31.0,109,5.01,23,4,0,0,0
146,NYJ,11.0,Paul Frase,DE,23,Syracuse,4.96,28.0,110,4.57,19,139,0,0,2
147,RAM,2.0,Keith Jones,RB,22,Nebraska,4.38,36.0,117,4.19,6,16,0,0,0
156,MIA,,George Cooper,RB,,Ohio State,4.90,30.0,109,4.29,16,,0,0,0
159,WAS,10.0,Stan Humphries,QB,23,Louisiana-Monroe,4.93,28.0,102,4.56,,88,0,0,6
161,CHI,5.0,Lemuel Stinson,DB,22,Texas Tech,4.54,37.0,122,4.27,,69,0,0,3
164,MIN,,Derrick White,DB,,Oklahoma,4.59,28.5,95,4.63,10,,0,0,0
165,RAM,,Jeff Knapton,DT,,Wyoming,5.02,25.0,105,4.44,16,,0,0,0
166,ATL,10.0,Michael Haynes,WR,22,Northern Arizona,4.46,34.5,119,4.36,5,147,0,0,8
169,DET,,Jeff James,WR,,Stanford,4.59,33.0,113,4.48,6,,0,0,0
172,NYJ,,Gary Patton,RB,,Eastern Michigan,4.63,30.5,108,4.32,8,,0,0,0
173,GNB,1.0,Gary Richard,DB,22,Pittsburgh,4.60,31.5,104,4.47,15,10,0,0,0
176,PHI,,Todd White,WR,,Cal State Fullerton,4.68,32.0,111,4.38,7,,0,0,0
180,MIA,9.0,Kerwin Bell,QB,23,Florida,5.07,28.5,102,4.63,,1,0,0,0
181,NWE,2.0,Darryl Usher,WR,23,Illinois,4.46,34.5,110,4.02,10,13,0,0,0
182,PIT,,Marc Zeno,WR,,Tulane,4.81,35.0,114,4.32,7,,0,0,0
183,MIN,2.0,Brad Beckman,TE,23,Nebraska-Omaha,4.71,33.0,115,4.25,6,24,0,0,0
197,KAN,5.0,Alfredo Roberts,TE,23,Miami (FL),4.95,29.5,,4.46,,80,0,0,2
199,RAI,4.0,Mike Alexander,WR,23,Penn State,4.57,25.0,104,4.57,11,19,0,0,0
200,GNB,1.0,Patrick Collins,RB,22,Oklahoma,4.49,33.5,110,4.29,10,5,0,0,0
201,RAM,,Darryl Franklin,WR,,Washington,4.75,29.0,108,4.35,10,,0,0,0
203,NYJ,2.0,Keith Neubert,TE,23,Nebraska,4.88,31.5,108,4.52,11,17,0,0,1
205,DAL,8.0,Mark Higgs,RB,22,Kentucky,4.53,43.0,126,4.16,17,90,0,0,3
211,PIT,5.0,Mike Hinnant,TE,21,Temple,4.97,29.0,100,,15,36,0,0,0
215,SEA,2.0,Robert Tyler,TE,22,South Carolina State,5.02,27.0,104,4.85,15,9,0,0,1
216,CLE,9.0,J.J. Birden,WR,23,Oregon,4.45,38.0,126,4.16,7,93,0,0,5
217,CHI,,Harvey Reed,RB,,Howard,4.50,32.0,119,4.21,9,,0,0,0
222,ATL,2.0,James Primus,RB,24,UCLA,4.49,33.5,114,4.28,14,21,0,0,0
225,TAM,9.0,Reuben Davis,DE,23,North Carolina,5.19,26.0,105,5.02,14,139,0,0,8
226,CIN,,Brandy Wells,DB,,Notre Dame,4.53,33.5,115,4.33,15,,0,0,0
227,RAI,,Reggie Ware,RB,,Auburn,4.59,34.0,109,4.40,17,,0,0,0
232,DAL,,Brian Bedford,WR,,California,4.57,33.5,118,4.40,13,,0,0,0
239,MIA,8.0,Jeff Cross,DE,22,Missouri,4.93,28.0,99,4.72,19,125,0,1,7
245,CHI,,Rogie Magee,WR,,LSU,4.51,33.0,111,4.34,8,,0,0,0
246,NOR,,Clarence Nunn,DB,,San Diego State,4.61,32.5,113,4.30,15,,0,0,0
251,KAN,3.0,Kenny Gamble,RB,23,Colgate,4.69,30.0,111,4.48,,19,0,0,0
257,NYJ,8.0,John Booty,DB,22,Texas Christian,4.65,34.5,126,4.43,11,102,0,0,2
260,PHO,1.0,Andy Schillinger,WR,23,Miami (OH),4.48,30.5,110,4.11,8,3,0,0,0
262,BUF,9.0,Martin Mayhew,DB,22,Florida State,4.47,34.0,111,4.42,7,118,0,0,7
266,MIA,,Artis Jackson,DT,,Texas Tech,5.34,26.0,95,5.03,22,,0,0,0
270,IND,2.0,O'Brien Alston,LB,22,Maryland,4.92,30.5,111,4.60,13,19,0,0,1
274,NOR,,Todd Santos,QB,,San Diego State,4.98,27.5,100,4.50,10,,0,0,0
277,WAS,,Henry Brown,T,,Florida,4.99,30.0,105,4.64,17,,0,0,0
278,ATL,5.0,James Milling,WR,23,Maryland,4.47,32.0,111,4.32,8,24,0,0,0
293,SDG,6.0,George Hinkle,DE,23,Arizona,5.17,25.0,99,4.86,19,68,0,0,2
294,NWE,4.0,Marvin Allen,RB,22,Tulane,4.55,31.0,110,4.54,15,37,0,0,0
304,DEN,,Richard Calvin,RB,,Washington State,4.70,28.0,109,4.44,10,,0,0,0
320,MIA,16.0,Brian Kinchen,TE,23,LSU,4.99,33.5,106,4.31,24,193,0,0,4
321,NWE,,Dave Nugent,DT,,Boston College,5.00,27.5,103,4.79,24,,0,0,0
328,CLE,,Steve Slayden,QB,,Duke,4.99,26.5,103,4.57,1,,0,0,0
330,NOR,,Paul Jurgensen,DE,,Georgia Tech,5.04,27.0,108,4.49,20,,0,0,0
5,ATL,17.0,Deion Sanders,DB,22,Florida State,4.29,,,,,188,6,8,12
8,SDG,6.0,Burt Grossman,DE,22,Pittsburgh,4.75,29.0,117,4.37,21,86,0,0,5
11,CHI,9.0,Donnell Woolford,DB,23,Clemson,4.59,38.0,124,4.34,12,126,0,1,9
13,CLE,14.0,Eric Metcalf,RB,21,Texas,4.46,33.0,118,,,179,2,3,6
14,NYJ,10.0,Jeff Lageman,DE,22,Virginia,4.86,32.0,116,4.34,15,122,0,0,7
16,NWE,2.0,Hart Lee Dykes,WR,23,Oklahoma State,4.67,33.0,122,4.13,,26,0,0,1
19,NOR,11.0,Wayne Martin,DE,23,Arkansas,5.07,30.5,103,4.56,14,171,0,1,10
21,RAM,4.0,Bill Hawkins,DE,23,Miami (FL),4.81,32.0,115,4.44,25,42,0,0,1
22,IND,12.0,Andre Rison,WR,22,Michigan State,4.47,35.0,114,3.96,,186,1,5,10
27,ATL,5.0,Shawn Collins,WR,22,Northern Arizona,4.53,36.0,124,4.24,,49,0,0,1
30,DET,1.0,John Ford,WR,23,Virginia,4.45,33.0,117,4.24,,7,0,0,0
32,KAN,1.0,Mike Elkins,QB,23,Wake Forest,5.02,29.5,97,4.50,,1,0,0,0
33,TAM,3.0,Danny Peebles,WR,23,North Carolina State,4.43,35.5,128,4.23,,30,0,0,0
35,CIN,7.0,Eric Ball,RB,23,UCLA,4.58,33.5,118,4.45,18,97,0,0,2
42,NYJ,4.0,Dennis Byrd,DT,22,Tulsa,4.97,29.0,104,4.58,22,57,0,0,2
43,NWE,2.0,Eric Coleman,DB,22,Wyoming,4.55,41.0,130,3.91,9,15,0,0,0
46,NOR,9.0,Robert Massey,DB,22,North Carolina Central,4.49,34.0,115,4.44,11,133,0,1,5
47,DEN,4.0,Warren Powers,DE,24,Maryland,5.02,30.5,103,4.82,,51,0,0,2
48,RAM,2.0,Brian Smith,LB,23,Auburn,4.83,31.5,,4.50,,19,0,0,0
51,SDG,11.0,Billy Joe Tolliver,QB,23,Texas Tech,5.09,28.5,96,4.42,,79,0,0,3
53,RAM,6.0,Darryl Henley,DB,22,UCLA,4.59,33.5,114,,,76,0,0,3
56,SFO,15.0,Wesley Walls,TE,23,Mississippi,4.77,,110,,,196,0,5,9
58,GNB,8.0,Matt Brock,DE,23,Oregon,4.98,28.0,106,4.54,15,108,0,0,6
61,PIT,2.0,Derek Hill,WR,21,Arizona,4.54,32.0,118,4.32,,32,0,0,2
62,ATL,4.0,Keith Jones,RB,23,Illinois,4.58,37.5,124,,16,50,0,0,3
63,NWE,7.0,Marv Cook,TE,23,Iowa,4.86,29.0,103,4.20,18,112,1,2,6
66,WAS,2.0,Tracy Rocker,DT,23,Auburn,5.29,,,,16,24,0,0,1
68,DAL,1.0,Rhondy Weston,DE,23,Florida,5.12,30.0,108,4.65,22,12,0,0,0
70,NYJ,5.0,Joe Mott,LB,23,Iowa,4.90,29.0,112,4.13,,34,0,0,1
72,IND,3.0,Mitchell Benson,NT,22,Texas Christian,5.22,27.5,101,4.77,27,41,0,0,0
73,NWE,5.0,Chris Gannon,DE,23,Southwestern Louisiana,4.84,30.0,114,4.42,17,40,0,0,0
74,GNB,2.0,Anthony Dilweg,QB,24,Duke,4.78,28.0,102,4.37,,10,0,0,0
76,PHI,3.0,Robert Drummond,RB,22,Syracuse,4.56,33.0,117,4.18,13,36,0,0,0
79,NOR,2.0,Kim Phillips,DB,22,North Texas,4.54,38.0,125,4.13,6,6,0,0,0
82,BUF,9.0,Don Beebe,WR,24,Chadron State,4.42,36.5,115,4.08,,116,0,0,4
83,CIN,8.0,Erik Wilhelm,QB,23,Oregon State,5.18,26.0,101,4.21,,22,0,0,0
86,DET,14.0,Ray Crockett,DB,22,Baylor,4.61,,,,17,214,0,0,11
87,GNB,,Jeff Graham,QB,,Long Beach State,4.99,32.5,115,4.55,,,0,0,0
92,MIA,,David Holmes,DB,,Syracuse,4.63,38.5,121,4.17,8,,0,0,0
93,NYG,7.0,Lewis Tillman,RB,23,Jackson State,4.67,31.5,109,4.31,16,109,0,0,1
94,PHO,5.0,Jim Wahler,NT,23,UCLA,4.99,31.0,109,4.78,,62,0,0,3
96,NWE,7.0,Maurice Hurst,DB,21,Southern,4.58,29.0,107,4.41,12,105,0,0,7
98,NYJ,2.0,Ron Stallworth,DE,23,Auburn,4.93,28.5,104,4.76,19,32,0,0,1
102,RAM,4.0,Jeff Carlson,QB,23,Weber State,5.06,32.0,106,4.41,,7,0,0,0
104,HOU,3.0,Rod Harris,WR,22,Texas A&M,4.56,31.0,106,4.36,,38,0,0,0
105,NYG,1.0,Brad Henke,DE,23,Arizona,4.92,32.5,109,4.31,,2,0,0,0
107,CLE,1.0,Andrew Stewart,DE,23,Cincinnati,4.82,40.0,120,4.51,30,16,0,0,0
108,MIN,5.0,Darryl Ingram,TE,23,California,4.79,30.0,114,4.49,16,36,0,0,0
110,WAS,3.0,Erik Affholter,WR,23,Southern California,4.61,31.5,108,4.41,,4,0,0,0
115,DET,5.0,Lawrence Pete,NT,23,Nebraska,5.19,26.0,98,4.71,25,61,0,0,1
116,CLE,2.0,Vernon Joines,WR,24,Maryland,4.51,38.5,120,4.07,,20,0,0,0
124,GNB,7.0,Jeff Query,WR,22,Millikin,4.43,37.5,123,3.91,,86,0,0,1
126,NYJ,13.0,Tony Martin,WR,24,Colorado Mesa,4.44,39.0,129,4.22,,177,0,1,6
127,GNB,8.0,Vince Workman,RB,21,Ohio State,4.74,30.0,110,,13,106,0,0,2
130,CHI,4.0,Mark Green,RB,22,Notre Dame,4.62,30.0,105,4.40,14,53,0,0,0
132,NYG,10.0,Dave Meggett,RB,23,Towson,4.64,34.5,122,4.26,20,146,0,2,0
135,RAM,8.0,Alfred Jackson,WR,22,San Diego State,4.61,33.5,117,4.45,,45,0,0,0
137,BUF,,Michael Andrews,DB,,Alcorn State,4.62,34.0,121,4.53,5,,0,0,0
